classname,post-release-bugs,pre-release-bugs,numberOfVersionsUntil:,numberOfFixesUntil:,numberOfRefactoringsUntil:,numberOfAuthorsUntil:,linesAddedUntil:,maxLinesAddedUntil:,avgLinesAddedUntil:,linesRemovedUntil:,maxLinesRemovedUntil:,avgLinesRemovedUntil:,ageWithRespectTo:,weightedAgeWithRespectTo:,cbo,dit,fanIn,fanOut,lcom,noc,numberOfAttributes,numberOfAttributesInherited,numberOfLinesOfCode,numberOfMethods,numberOfMethodsInherited,numberOfPrivateAttributes,numberOfPrivateMethods,numberOfPublicAttributes,numberOfPublicMethods,rfc,wmc,CvsEntropy,CvsWEntropy,CvsLinEntropy,CvsLogEntropy,CvsExpEntropy
org::apache::lucene::analysis::KeywordTokenizer,0,0,4,0,0,2,21,11,5.25,10,8,2.5,190.714,5.98639,2,3,0,2,3,0,2,1,30,3,16,2,0,0,3,11,7,2.61865,0.0879209,0.00280624,0.0577254,2.66E-05
org::apache::lucene::analysis::LengthFilter,0,0,2,0,0,2,2,1,1,2,1,1,240.143,0.642857,3,3,1,2,1,0,2,1,19,2,16,0,0,2,2,4,5,0,0,0,0,0
org::apache::lucene::analysis::LetterTokenizer,0,0,5,1,0,3,28,13,5.6,102,51,20.4,368.143,124.041,3,4,2,1,1,2,0,1,6,2,21,0,0,0,1,3,2,1.64243,0.00391152,0.00325183,0.0418737,0.00116335
org::apache::lucene::analysis::LowerCaseFilter,0,2,7,0,0,5,45,13,6.42857,73,51,10.4286,368.143,210.289,14,3,11,3,1,0,0,1,17,2,16,0,0,0,2,6,4,4.2341,0.0208684,0.0385326,0.170244,0.106043
org::apache::lucene::analysis::LowerCaseTokenizer,0,0,6,2,0,4,38,13,6.33333,111,51,18.5,368.143,99.1805,9,5,8,1,1,0,0,1,6,2,23,0,0,0,1,3,2,1.64243,0.00391152,0.00325183,0.0418737,0.00116335
org::apache::lucene::analysis::PerFieldAnalyzerWrapper,0,2,9,2,0,6,59,16,6.55556,61,51,6.77778,262.857,104.37,3,2,2,1,15,0,2,0,30,6,15,2,0,0,6,13,9,6.08433,0.0968814,0.0113622,0.151484,0.00717911
org::apache::lucene::analysis::PorterStemFilter,0,2,8,1,0,5,79,26,9.875,119,51,14.875,368.143,137.492,3,3,0,3,1,0,1,1,14,2,16,1,0,0,2,10,4,4.2341,0.0216663,0.0385326,0.170244,0.106043
org::apache::lucene::analysis::PorterStemmer,0,1,5,1,0,5,133,111,26.6,172,111,34.4,368.143,127.255,5,1,1,4,231,0,8,0,312,22,9,8,12,0,8,157,164,2.99922,0.00773124,0.00902615,0.0848456,0.0154708
org::apache::lucene::analysis::SimpleAnalyzer,0,1,5,0,0,4,32,13,6.4,58,51,11.6,368.143,211.545,47,2,44,3,3,0,0,0,12,3,15,0,0,0,3,8,3,2.82217,0.0115276,0.00699591,0.0760623,0.0067478
org::apache::lucene::analysis::SinkTokenizer,0,2,7,0,0,2,60,17,8.57143,12,4,1.71429,44.8571,19.8095,10,3,10,0,15,4,2,1,28,6,16,0,0,0,6,14,9,5.30545,0.0280864,0.0952679,0.325349,0.237195
org::apache::lucene::analysis::StopAnalyzer,0,1,12,1,0,7,69,17,5.75,67,51,5.58333,368.143,208.59,6,2,1,5,3,0,2,0,17,3,15,1,0,0,3,12,4,6.50047,0.0635998,0.0116065,0.159885,0.00705316
org::apache::lucene::analysis::StopFilter,0,6,21,0,1,7,320,75,15.2381,246,51,11.7143,368.143,224.254,21,3,19,2,21,0,3,1,36,7,16,3,0,0,7,17,10,11.0402,0.307877,0.0634577,0.371815,0.170339
org::apache::lucene::analysis::TeeTokenFilter,0,2,4,0,0,2,24,17,6,6,4,1.5,44.8571,37.256,6,3,4,2,1,0,1,1,10,2,16,0,0,1,2,4,2,4.01909,0.0136504,0.089419,0.28374,0.221425
org::apache::lucene::analysis::Token,0,13,24,4,0,9,999,468,41.625,251,69,10.4583,368.143,314.776,128,1,122,6,465,0,11,0,240,31,18,3,4,7,27,72,66,16.4641,0.612773,0.0871962,0.542911,0.230256
org::apache::lucene::analysis::TokenFilter,1,3,10,0,0,5,40,13,4,66,51,6.6,368.143,185.707,5,2,4,1,3,42,1,0,10,3,13,0,0,0,2,5,3,8.08193,0.0202412,0.0567067,0.290392,0.157777
org::apache::lucene::analysis::TokenStream,1,6,10,0,0,7,116,28,11.6,83,51,8.3,368.143,295.233,90,1,90,0,6,22,0,0,7,4,9,0,0,0,4,5,3,7.77801,0.0701776,0.0527829,0.280119,0.140061
org::apache::lucene::analysis::Tokenizer,0,4,9,0,0,6,47,13,5.22222,62,51,6.88889,368.143,206.584,9,2,8,1,3,10,1,0,9,3,13,0,0,0,2,4,3,5.52249,0.0147491,0.0446654,0.212545,0.123469
org::apache::lucene::analysis::WhitespaceAnalyzer,0,1,5,0,0,3,32,13,6.4,58,51,11.6,349.857,193.83,74,2,71,3,3,0,0,0,12,3,15,0,0,0,3,8,3,2.82217,0.0115276,0.00699591,0.0760623,0.0067478
org::apache::lucene::analysis::WhitespaceTokenizer,0,0,5,2,0,2,22,13,4.4,59,51,11.8,349.857,135.565,19,4,18,1,1,0,0,1,6,2,21,0,0,0,1,3,2,1.64243,0.00391152,0.00325183,0.0418737,0.00116335
org::apache::lucene::analysis::WordlistLoader,0,1,9,1,0,4,83,32,9.22222,72,29,8,216.286,70.0826,6,1,2,4,1,0,0,0,44,2,9,0,0,0,2,18,10,7.75655,0.206158,0.013608,0.190306,0.0072202
org::apache::lucene::analysis::ar::ArabicAnalyzer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,4,1,0,3,0,11,2,15,1,0,0,2,7,2,0,0,0,0,0
org::apache::lucene::analysis::ar::ArabicLetterTokenizer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,2,1,0,0,1,6,2,23,0,0,0,1,4,3,0,0,0,0,0
org::apache::lucene::analysis::ar::ArabicNormalizationFilter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,3,1,0,1,1,15,2,16,0,0,0,1,8,4,0,0,0,0,0
org::apache::lucene::analysis::ar::ArabicNormalizer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,3,0,17,0,27,3,9,0,0,0,2,5,18,0,0,0,0,0
org::apache::lucene::analysis::ar::ArabicStemFilter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,3,1,0,1,1,20,2,16,0,0,0,1,8,4,0,0,0,0,0
org::apache::lucene::analysis::ar::ArabicStemmer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,28,0,13,0,53,8,9,0,0,0,4,16,21,0,0,0,0,0
org::apache::lucene::analysis::br::BrazilianAnalyzer,0,0,9,1,0,3,9,1,1,9,1,1,250.143,19.0794,4,2,0,4,3,0,3,0,15,3,15,2,0,0,3,10,3,0,0,0,0,0
org::apache::lucene::analysis::br::BrazilianStemFilter,0,0,8,1,0,3,8,1,1,8,1,1,250.143,15.6071,5,3,1,4,1,0,2,1,21,2,16,2,0,0,2,8,7,1.25878,0.00762692,0.0013038,0.0275436,8.93E-06
org::apache::lucene::analysis::br::BrazilianStemmer,0,0,5,1,0,3,5,1,1,5,1,1,250.143,16.1429,3,1,1,2,171,0,5,0,847,19,9,5,16,0,2,423,321,0,0,0,0,0
org::apache::lucene::analysis::cjk::CJKAnalyzer,0,0,5,0,0,3,5,1,1,5,1,1,250.143,13.9429,2,2,0,2,1,0,2,0,6,2,15,1,0,0,2,5,2,0,0,0,0,0
org::apache::lucene::analysis::cjk::CJKTokenizer,0,0,4,1,0,2,4,1,1,4,1,1,250.143,10.5714,3,3,1,2,1,0,9,1,140,2,16,9,0,0,2,8,26,0,0,0,0,0
org::apache::lucene::analysis::cn::ChineseAnalyzer,0,0,2,0,0,2,2,1,1,2,1,1,250.143,2.14286,2,2,0,2,1,0,0,0,7,2,15,0,0,0,2,4,2,0,0,0,0,0
org::apache::lucene::analysis::cn::ChineseFilter,0,0,4,0,0,2,4,1,1,4,1,1,250.143,2.67857,5,3,1,4,1,0,2,1,38,2,16,1,0,0,2,10,8,0,0,0,0,0
org::apache::lucene::analysis::cn::ChineseTokenizer,0,0,4,0,0,2,4,1,1,4,1,1,250.143,4.53571,3,3,2,1,6,0,9,1,66,4,16,9,2,0,2,15,14,0,0,0,0,0
org::apache::lucene::analysis::compound::CompoundWordTokenFilterBase,0,2,2,0,0,2,9,8,4.5,10,9,5,20.7143,12.1905,6,3,2,4,28,2,9,1,74,8,16,0,0,0,2,36,14,2.5991,0.00845957,0.0419123,0.142869,0.141042
org::apache::lucene::analysis::compound::DictionaryCompoundWordTokenFilter,0,1,1,0,0,1,1,1,1,1,1,1,20.7143,0,2,4,0,2,1,0,0,10,36,2,24,0,0,0,1,14,12,1.18716,0.00167713,0.0103756,0.0486875,0.0417474
org::apache::lucene::analysis::compound::HyphenationCompoundWordTokenFilter,0,1,1,0,0,1,1,1,1,1,1,1,20.7143,0,5,4,1,4,3,0,1,10,81,3,24,1,0,0,2,24,18,1.18716,0.00167713,0.0103756,0.0486875,0.0417474
org::apache::lucene::analysis::compound::hyphenation::ByteVector,0,1,1,0,0,1,1,1,1,1,1,1,20.7143,0,2,1,1,1,28,0,4,0,42,8,18,4,0,0,8,10,11,1.18716,0.00167713,0.0103756,0.0486875,0.0417474
org::apache::lucene::analysis::compound::hyphenation::CharVector,0,1,1,0,0,1,1,1,1,1,1,1,20.7143,0,4,1,3,1,45,0,4,0,50,10,27,4,0,0,10,14,13,1.18716,0.00167713,0.0103756,0.0486875,0.0417474
org::apache::lucene::analysis::compound::hyphenation::Hyphen,0,1,1,0,0,1,1,1,1,1,1,1,20.7143,0,2,1,0,2,1,0,3,0,19,2,18,0,0,3,1,7,6,1.18716,0.00167713,0.0103756,0.0486875,0.0417474
org::apache::lucene::analysis::compound::hyphenation::Hyphenation,0,1,1,0,0,1,1,1,1,1,1,1,20.7143,0,2,1,2,0,3,0,2,0,9,3,9,2,0,0,2,3,3,1.18716,0.00167713,0.0103756,0.0486875,0.0417474
org::apache::lucene::analysis::compound::hyphenation::HyphenationException,0,1,1,0,0,1,1,1,1,1,1,1,20.7143,0,1,1,1,0,0,0,0,0,3,1,27,0,0,0,1,1,1,1.18716,0.00167713,0.0103756,0.0486875,0.0417474
org::apache::lucene::analysis::compound::hyphenation::HyphenationTree,0,1,1,0,0,1,1,1,1,1,1,1,20.7143,0,9,2,1,8,78,0,5,9,270,13,54,2,0,0,8,67,61,1.18716,0.00167713,0.0103756,0.0486875,0.0417474
org::apache::lucene::analysis::compound::hyphenation::PatternParser,0,1,2,1,0,2,2,1,1,3,2,1.5,20.7143,10.1429,14,1,1,13,210,0,11,0,268,21,48,0,1,7,14,160,64,1.50087,0.00270569,0.0417467,3.20079,0.0731185
org::apache::lucene::analysis::compound::hyphenation::TernaryTree,0,1,1,0,0,1,1,1,1,1,1,1,20.7143,0,6,1,1,5,153,1,9,0,267,18,27,0,3,0,12,73,44,1.18716,0.00167713,0.0103756,0.0486875,0.0417474
org::apache::lucene::analysis::cz::CzechAnalyzer,0,0,7,0,0,3,7,1,1,7,1,1,250.143,19.3878,5,2,0,5,3,0,2,0,35,3,15,1,0,0,3,15,6,0,0,0,0,0
org::apache::lucene::analysis::de::GermanAnalyzer,0,0,4,0,0,1,4,1,1,4,1,1,216.286,5.96429,4,2,0,4,3,0,3,0,14,3,15,2,0,0,3,10,3,0,0,0,0,0
org::apache::lucene::analysis::de::GermanStemFilter,0,0,1,0,0,1,1,1,1,1,1,1,216.286,0,6,3,2,4,6,0,2,1,29,4,16,2,0,0,4,10,10,0,0,0,0,0
org::apache::lucene::analysis::de::GermanStemmer,0,0,12,7,0,5,12,1,1,12,1,1,367.143,78.2381,4,1,1,3,28,0,2,0,171,8,9,2,6,0,1,123,58,0,0,0,0,0
org::apache::lucene::analysis::el::GreekAnalyzer,0,2,3,0,0,3,4,3,1.33333,4,2,1.33333,180.286,131.893,3,2,0,3,3,0,27,0,25,3,15,27,1,0,2,11,5,2.5984,0.00740838,0.0534247,0.17608,0.106916
org::apache::lucene::analysis::el::GreekCharsets,0,1,2,0,0,2,1,1,0.5,2,1,1,180.286,0,2,1,1,1,0,0,3,0,225,1,9,0,0,3,1,2,79,2.5984,0.00493292,0.0534247,0.17608,0.106916
org::apache::lucene::analysis::el::GreekLowerCaseFilter,0,2,3,0,0,3,9,8,3,15,13,5,180.286,154.032,4,3,1,3,1,0,1,1,19,2,16,0,0,1,2,6,4,4.01034,0.0133112,0.0849614,0.270262,0.206211
org::apache::lucene::analysis::fr::ElisionFilter,0,3,4,1,0,3,34,28,8.5,24,17,6,66.7143,51.0588,2,3,0,2,3,0,2,1,40,3,16,2,0,0,3,23,10,4.42816,0.030271,0.0886806,0.290466,0.212731
org::apache::lucene::analysis::fr::FrenchAnalyzer,0,0,9,0,0,2,9,1,1,9,1,1,246.143,15.7937,5,2,1,4,3,0,3,0,19,3,15,2,0,0,3,14,5,0,0,0,0,0
org::apache::lucene::analysis::fr::FrenchStemFilter,0,0,5,1,0,1,5,1,1,5,1,1,246.143,13.7714,5,3,1,4,6,0,2,1,29,4,16,2,0,0,4,12,10,1.25878,0.00762692,0.0013038,0.0275436,8.93E-06
org::apache::lucene::analysis::fr::FrenchStemmer,0,0,3,0,0,2,3,1,1,3,1,1,246.143,10.0952,4,1,1,3,210,0,8,0,482,21,9,8,19,0,1,174,128,0,0,0,0,0
org::apache::lucene::analysis::miscellaneous::EmptyTokenStream,0,2,2,0,0,2,3,2,1.5,13,12,6.5,14,4.66667,2,2,2,0,1,0,0,0,4,2,13,0,0,0,2,2,1,2.35699,0.00934848,0.0440601,0.140911,0.148302
org::apache::lucene::analysis::miscellaneous::PrefixAndSuffixAwareTokenFilter,0,2,2,0,0,2,4,3,2,3,2,1.5,14,5.25,6,2,4,2,15,0,1,0,32,6,13,1,0,0,6,18,6,2.35699,0.00575777,0.0440601,0.140911,0.148302
org::apache::lucene::analysis::miscellaneous::PrefixAwareTokenFilter,0,2,2,0,0,2,16,15,8,44,43,22,14,6.5625,5,2,2,3,36,2,4,0,63,9,13,4,0,0,9,24,15,2.35699,0.026903,0.0440601,0.140911,0.148302
org::apache::lucene::analysis::miscellaneous::SingleTokenTokenStream,0,2,2,0,0,2,9,8,4.5,6,5,3,14,6.22222,4,2,4,0,10,0,2,0,21,5,13,2,0,0,5,9,6,2.35699,0.00894951,0.0440601,0.140911,0.148302
org::apache::lucene::analysis::ngram::EdgeNGramTokenFilter,1,3,3,0,0,3,20,16,6.66667,18,16,6,82.1429,68,3,3,1,2,3,0,7,1,45,3,16,4,1,0,2,17,10,3.46561,0.0139708,0.0389238,0.155112,0.115967
org::apache::lucene::analysis::ngram::EdgeNGramTokenizer,0,3,6,0,0,3,107,84,17.8333,54,36,9,93.7143,19.0921,4,3,1,3,1,0,10,1,34,2,16,7,0,0,2,10,6,5.37625,0.0687913,0.0429417,0.204598,0.117724
org::apache::lucene::analysis::ngram::NGramTokenFilter,1,3,3,0,0,2,10,9,3.33333,14,12,4.66667,82.1429,67.6286,3,3,1,2,3,0,5,1,32,3,16,3,1,0,2,13,8,4.10317,0.00931366,0.0869614,0.279074,0.208732
org::apache::lucene::analysis::ngram::NGramTokenizer,0,3,5,0,0,2,58,52,11.6,58,52,11.6,93.7143,14.9483,2,3,1,1,1,0,9,1,27,2,16,7,0,0,2,7,6,4.74253,0.0496714,0.0881842,0.29526,0.209
org::apache::lucene::analysis::nl::DutchAnalyzer,0,0,4,0,0,3,4,1,1,4,1,1,239.143,8.10714,4,2,0,4,6,0,4,0,31,4,15,3,0,0,4,14,4,0,0,0,0,0
org::apache::lucene::analysis::nl::DutchStemFilter,0,0,3,0,0,2,3,1,1,3,1,1,239.143,0.238095,5,3,1,4,10,0,2,1,33,5,16,2,0,0,5,13,12,0,0,0,0,0
org::apache::lucene::analysis::nl::DutchStemmer,0,0,5,0,0,3,5,1,1,5,1,1,239.143,9.37143,4,1,1,3,153,0,5,0,289,18,9,5,15,0,2,143,102,0,0,0,0,0
org::apache::lucene::analysis::nl::WordlistLoader,0,0,2,0,0,2,2,1,1,2,1,1,239.143,0.142857,3,1,0,3,3,0,0,0,51,3,9,0,1,0,2,19,9,0,0,0,0,0
org::apache::lucene::analysis::payloads::NumericPayloadTokenFilter,0,2,3,0,1,2,9,6,3,42,36,14,43.7143,24.7937,4,3,1,3,1,0,2,1,14,2,16,2,0,0,2,8,4,3.37826,0.0316246,0.0404763,0.157785,0.123391
org::apache::lucene::analysis::payloads::PayloadHelper,0,1,1,0,1,1,1,1,1,1,1,1,42.2857,0,3,1,2,1,6,0,0,0,18,4,9,0,0,0,4,8,4,1.29819,0.00145294,0.00603466,0.0422975,0.0166933
org::apache::lucene::analysis::payloads::TokenOffsetPayloadTokenFilter,0,2,2,0,1,2,21,13,10.5,53,46,26.5,42.2857,13.4422,4,3,1,3,1,0,0,1,15,2,16,0,0,0,2,8,3,2.71012,0.0488462,0.0375713,0.136479,0.115988
org::apache::lucene::analysis::payloads::TypeAsPayloadTokenFilter,0,2,2,0,0,2,7,6,3.5,6,5,3,43.7143,31.4694,4,3,1,3,1,0,0,1,12,2,16,0,0,0,2,9,5,2.76004,0.00568941,0.0375323,0.137482,0.115025
org::apache::lucene::analysis::query::QueryAutoStopWordAnalyzer,0,2,2,0,0,2,2,1,1,2,1,1,34.8571,13.8571,7,2,1,6,6,0,3,0,43,4,15,0,0,2,4,33,11,2.58708,0.00146705,0.037882,0.134433,0.119674
org::apache::lucene::analysis::ru::RussianAnalyzer,0,0,9,0,0,4,9,1,1,9,1,1,316.286,52.4127,6,2,1,5,3,0,32,0,26,3,15,32,1,0,2,12,5,0,0,0,0,0
org::apache::lucene::analysis::ru::RussianCharsets,0,0,1,0,0,1,1,1,1,1,1,1,216.286,0,2,1,1,1,0,0,3,0,41,1,9,0,0,3,1,2,16,0,0,0,0,0
org::apache::lucene::analysis::ru::RussianLetterTokenizer,0,0,1,0,0,1,1,1,1,1,1,1,216.286,0,3,4,2,1,1,0,1,1,14,2,21,1,0,0,1,3,5,0,0,0,0,0
org::apache::lucene::analysis::ru::RussianLowerCaseFilter,0,0,4,0,0,2,4,1,1,4,1,1,316.286,26.1071,4,3,1,3,1,0,1,1,19,2,16,0,0,1,2,6,4,0,0,0,0,0
org::apache::lucene::analysis::ru::RussianStemFilter,0,0,5,0,0,2,5,1,1,5,1,1,316.286,24.7429,5,3,1,4,3,0,1,1,22,3,16,1,0,0,3,9,7,0,0,0,0,0
org::apache::lucene::analysis::ru::RussianStemmer,0,0,1,0,0,1,1,1,1,1,1,1,216.286,0,4,1,2,2,136,0,40,0,173,17,9,40,14,0,3,68,44,0,0,0,0,0
org::apache::lucene::analysis::shingle::ShingleAnalyzerWrapper,0,1,2,1,0,2,47,46,23.5,44,43,22,27.5714,6.85106,2,2,0,2,15,0,3,0,23,6,15,0,0,0,6,10,6,2.08776,0.0764708,0.0172213,0.083567,0.067865
org::apache::lucene::analysis::shingle::ShingleFilter,0,2,3,1,0,3,43,38,14.3333,30,25,10,27.5714,18.8306,4,3,1,3,28,0,10,1,141,8,16,7,3,0,5,66,32,3.4997,0.0334453,0.0487579,0.177749,0.16716
org::apache::lucene::analysis::shingle::ShingleMatrixFilter,0,2,5,2,0,2,83,58,16.6,68,50,13.6,14,9.07401,10,2,1,9,136,0,17,0,276,17,13,14,2,3,15,118,58,3.59553,0.0726288,0.0959824,0.286809,0.255201
org::apache::lucene::analysis::sinks::DateRecognizerSinkTokenizer,0,2,2,0,0,2,3,2,1.5,3,2,1.5,43.7143,24.4762,3,4,0,3,1,0,2,3,19,2,22,0,0,0,2,6,4,2.76004,0.00289664,0.0375323,0.137482,0.115025
org::apache::lucene::analysis::sinks::TokenRangeSinkTokenizer,0,1,1,0,0,1,1,1,1,1,1,1,43.7143,0,1,4,0,1,3,0,3,3,14,3,22,3,0,0,3,4,5,1.3481,0.00130077,0.00599567,0.0433004,0.0157297
org::apache::lucene::analysis::sinks::TokenTypeSinkTokenizer,0,2,2,0,0,2,2,1,1,2,1,1,43.7143,18.3571,3,4,0,3,1,0,1,3,10,2,22,1,0,0,2,5,4,2.76004,0.0020987,0.0375323,0.137482,0.115025
org::apache::lucene::analysis::snowball::SnowballAnalyzer,0,0,4,0,0,2,4,1,1,4,1,1,302.714,36.6071,4,2,0,4,1,0,2,0,13,2,15,2,0,0,2,8,3,0,0,0,0,0
org::apache::lucene::analysis::snowball::SnowballFilter,0,0,7,1,0,2,7,1,1,7,1,1,302.714,31.3061,8,3,2,6,1,0,1,1,23,2,16,1,0,0,2,13,4,0,0,0,0,0
org::apache::lucene::analysis::standard::StandardAnalyzer,0,6,22,3,0,9,320,100,14.5455,151,51,6.86364,368.143,239.629,12,2,6,6,36,0,6,0,48,9,15,4,0,0,9,24,10,10.68,0.149897,0.0747449,0.39539,0.15959
org::apache::lucene::analysis::standard::StandardFilter,0,3,7,0,0,4,56,19,8,92,51,13.1429,368.143,262.199,12,3,10,2,1,0,2,1,32,2,16,2,0,0,2,8,11,4.2341,0.0461104,0.0385326,0.170244,0.106043
org::apache::lucene::analysis::standard::StandardTokenizer,1,8,13,2,0,6,265,64,20.3846,250,185,19.2308,264.857,202.889,3,3,1,2,28,0,14,1,62,8,16,3,0,0,7,24,13,9.37718,0.32649,0.0619818,0.332374,0.182565
org::apache::lucene::analysis::standard::StandardTokenizerImpl,0,5,6,0,0,2,248,135,41.3333,173,79,28.8333,61,38.905,6,1,1,5,171,0,41,0,271,19,9,29,7,0,10,40,64,6.01329,0.250767,0.0607581,0.260938,0.172092
org::apache::lucene::analysis::th::ThaiAnalyzer,0,2,2,0,0,2,1,1,0.5,2,1,1,122.286,0,3,2,1,2,1,0,0,0,7,2,15,0,0,0,2,6,1,2.26754,0.000873984,0.0535961,0.170881,0.107142
org::apache::lucene::analysis::th::ThaiWordFilter,0,3,3,0,0,3,19,18,6.33333,13,11,4.33333,122.286,109.218,6,3,1,5,1,0,2,1,39,2,16,2,0,0,2,25,8,3.67948,0.012444,0.0851327,0.265063,0.206437
org::apache::lucene::ant::DocumentHandlerException,0,0,2,1,0,1,2,1,1,2,1,1,325.857,39.7857,2,1,1,1,3,0,1,0,16,3,27,1,0,0,3,7,4,0,0,0,0,0
org::apache::lucene::ant::FileExtensionDocumentHandler,0,0,2,1,0,1,2,1,1,2,1,1,325.857,39.7857,5,1,0,5,0,0,0,0,19,1,10,0,0,0,1,7,3,0,0,0,0,0
org::apache::lucene::ant::HtmlDocument,0,0,3,1,0,1,3,1,1,3,1,1,325.857,53.2381,14,1,2,12,21,0,1,0,98,7,9,1,1,0,6,58,16,0,0,0,0,0
org::apache::lucene::ant::IndexTask,0,0,1,1,0,1,1,1,1,1,1,1,191.571,0,16,1,1,15,66,0,10,0,199,12,0,10,1,0,11,69,29,1.25878,0.00762692,0.0013038,0.0275436,8.93E-06
org::apache::lucene::ant::TextDocument,0,0,2,1,0,1,2,1,1,2,1,1,325.857,39.7857,6,1,2,4,3,0,1,0,31,3,9,1,0,0,3,19,4,0,0,0,0,0
org::apache::lucene::benchmark::AbstractBenchmarker,0,0,3,0,0,2,2,1,0.666667,2,1,0.666667,99,19.5714,2,1,1,1,0,1,0,0,25,1,10,0,0,0,1,7,8,2.60998,0.00541348,0.00641575,0.0701584,0.00618888
org::apache::lucene::benchmark::Constants,0,0,2,0,0,2,1,1,0.5,1,1,0.5,99,0,0,1,0,0,0,0,5,0,0,0,9,0,0,1,0,0,0,1.64243,0.000711186,0.00325183,0.0418737,0.00116335
org::apache::lucene::benchmark::Driver,0,0,3,1,0,2,2,1,0.666667,2,1,0.666667,99,9.85714,5,1,0,5,45,0,3,0,71,10,9,3,2,0,8,29,12,3.12296,0.000991854,0.00690727,0.0818702,0.00401529
org::apache::lucene::benchmark::byTask::Benchmark,0,4,7,0,0,4,198,134,28.2857,154,134,22,90.5714,10.518,8,1,2,6,10,0,3,0,70,5,9,3,0,0,5,35,10,5.56724,0.053899,0.0140133,0.151014,0.0124283
org::apache::lucene::benchmark::byTask::PerfRunData,0,8,14,1,0,4,297,210,21.2143,255,210,18.2143,90.5714,13.7379,48,1,37,12,153,0,11,0,132,18,9,11,0,0,18,63,27,11.2928,0.118556,0.0480877,0.351652,0.114231
org::apache::lucene::benchmark::byTask::feeds::AbstractQueryMaker,0,1,1,0,0,1,1,1,1,1,1,1,81,0,4,1,0,4,15,3,3,0,26,6,13,0,0,0,4,15,7,1.45269,0.00044025,0.00350248,0.0389943,0.00253864
